Date	SST	U	AirT	Humidity	CC	Prec	SWR	inflow	thermD	MLD	W	Bloom
2016-10-21	10.000333333333332	4.993541666666666	6.458749999999999	73.75	0.9041666666666668	0.0	52.83	0.16	-20.75	-21.0	0.029199822687834	0
2016-10-22	9.659666666666666	6.4935833333333335	5.020416666666667	70.875	1.0	2.4	22.64	0.154	-20.75	-21.0	0.0093467651250328	0
2016-10-23	9.336166666666664	4.591666666666667	5.552499999999999	93.125	1.0	7.8	22.04	0.15	-20.75	-21.0	0.0063721776347658	0
2016-10-24	9.128333333333332	3.448208333333333	6.0025	96.04166666666669	1.0	5.2	18.0	0.148	-20.75	-21.0	0.006647033601401	0
2016-10-25	8.408793449401855	3.25925	4.282916666666667	96.58333333333331	1.0	3.6	94.8	0.148	-20.75	-21.0	0.0100626221138211	0
2016-10-26	8.250133514404297	3.847625	3.9966666666666666	94.54166666666669	0.8208333333333333	1.7	251.5	0.146	-20.75	-21.0	0.0222083532013578	0
2016-10-27	8.038551330566406	4.899708333333334	7.582083333333333	94.20833333333331	0.95	0.3	117.6	0.203	-20.75	-21.0	0.0091540821764695	0
2016-10-28	8.6385	6.041708333333333	9.047083333333331	82.5	0.6124999999999999	0.6	205.9	0.3389999999999999	-20.75	-21.0	0.0044203172897355	0
2016-10-29	8.351333333333333	8.327	6.5025	66.95833333333333	0.2916666666666667	1.1	257.5	0.452	-20.75	-21.0	0.0014922076045056	0
2016-10-30	8.181833333333334	5.173791666666667	6.302083333333333	84.08333333333333	0.6749999999999999	0.0	253.4	0.505	-20.75	-21.0	0.0016125221861533	0
2016-10-31	7.451573848724365	2.2442083333333334	3.3979166666666667	95.29166666666669	0.6041666666666666	3.4	214.0	0.517	-20.75	-21.0	0.0042258498077931	0
2016-11-01	7.439103583	4.9485	2.8975000000000004	96.41666666666669	0.9166666666666666	31.2	65.91	0.497	-20.75	-21.0	0.0512246980456514	0
2016-11-02	7.138629913330078	8.741375	2.17625	83.0	1.0	1.3999999999999997	60.29	0.538	-20.75	-21.0	0.0049380182701282	0
2016-11-03	6.746461979	5.008083333333333	1.8129166666666665	74.125	0.8624999999999999	0.2	46.54	0.591	-20.75	-21.0	0.0014163303468521	0
2016-11-04	6.5290199585	2.287333333333333	-0.93625	97.625	0.75	0.6	74.26	0.712	-20.75	-21.0	0.0057631470964034	0
2016-11-05	6.267948646000001	4.380958333333333	0.47125	83.54166666666667	0.8208333333333333	0.0	201.8	1.061	-20.75	-21.0	0.049918883014052	0
2016-11-06	5.7439727783203125	7.181625	-0.8045833333333333	77.125	0.9916666666666668	0.1	91.6	1.174	-20.75	-21.0	0.0037669498147735	0
2016-11-07	5.4119247085	6.8096250000000005	-1.8	75.33333333333333	1.0	11.6	46.78	1.185	-20.75	-21.0	0.0010369483654341	0
2016-11-08	4.8149590492248535	4.258291666666667	-2.66125	92.41666666666669	1.0	12.800000000000002	81.9	1.149	-20.75	-21.0	0.0005821190989207	0
2016-11-09	4.7145355625	3.970541666666667	-1.075	96.16666666666669	1.0	11.699999999999998	62.85	1.089	-20.75	-21.0	0.0014870903505467	0
2016-11-10	4.498192292000001	1.91225	0.6458333333333334	98.66666666666669	0.9291666666666668	0.0	147.6	1.035	-20.75	-21.0	0.0018045533025611	0
2016-11-11	3.933570623397827	5.356375	-1.5804166666666666	97.54166666666669	0.8791666666666668	0.0	80.4	0.988	-20.75	-21.0	0.0097124730503771	0
2016-11-12	3.8830874585	5.175625	-3.0066666666666664	92.25	0.3958333333333333	0.0	191.5	0.941	-20.75	-21.0	0.00090318832024	0
2016-11-13	3.512060625	3.9463333333333335	0.4583333333333333	97.375	0.8333333333333334	0.0	97.0	0.892	-20.75	-21.0	0.0020036938148474	0
2016-11-14	3.00562596321106	2.330791666666667	1.2345833333333334	99.16666666666669	0.9083333333333332	0.5	96.9	0.923	-20.75	-21.0	0.001734511334744	0
2016-11-15	2.918219804763794	2.994666666666667	3.035	99.79166666666669	1.0	5.400000000000001	56.06	0.946	-20.75	-21.0	0.0435253450866115	0
2016-11-16	2.885469436645508	2.8088333333333337	1.596666666666667	99.80416666666666	0.9666666666666668	1.3	129.9	0.97	-20.75	-21.0	0.0	0
2016-11-17	2.8503987789154053	4.606708333333334	3.8841666666666654	96.42916666666667	0.1583333333333333	0.2	99.5	1.156	-20.75	-21.0	0.0049104136040916	0
2016-11-18	3.4112631875000003	3.419666666666666	4.564583333333333	99.79583333333332	0.8916666666666666	14.699999999999998	17.26	1.45	-20.75	-21.0	0.0013509496839319	0
2016-11-19	2.7736475467681885	5.154125	3.999166666666667	89.28750000000001	0.6541666666666667	2.4	93.9	1.759	-20.75	-21.0	0.0033621168513254	0
2016-11-20	2.7733490467071533	2.7340416666666667	3.3833333333333333	99.63333333333333	0.6875	4.1	80.0	2.2190000000000003	-20.75	-21.0	0.0021660124432989	0
2016-11-21	3.433124521	4.228291666666666	6.926666666666667	94.75	0.8083333333333332	0.4000000000000001	94.8	2.657	-20.75	-21.0	0.0101075130111392	0
2016-11-22	3.524681083	4.251166666666666	6.68625	99.8	1.0	0.0	22.85	2.936	-20.75	-21.0	0.0065217615111575	0
2016-11-23	3.6463003335	3.597166666666667	6.95375	98.70833333333331	0.8875000000000001	3.7000000000000006	76.16	2.9450000000000003	-20.75	-21.0	0.0014961999187523	0
2016-11-24	3.578990479	6.831625	2.6129166666666666	94.72083333333336	0.6749999999999999	0.0	134.7	2.817	-20.75	-21.0	0.0020262802403117	0
2016-11-25	3.392515125	3.4967083333333338	0.9883333333333332	97.40833333333336	0.85	1.1	43.08	2.708	-20.75	-21.0	0.0005692441157176	0
2016-11-26	2.736098051071167	6.988166666666667	4.569583333333333	88.75833333333333	0.5625	1.2	109.9	2.564	-20.75	-21.0	0.0064815144019986	0
2016-11-27	3.1394266665	10.411833333333334	1.0204166666666663	79.00833333333334	0.6041666666666666	3.6	38.96	2.43	-20.75	-21.0	0.0011250366611484	0
2016-11-28	2.7030604585	7.938666666666666	0.5854166666666667	74.04166666666667	0.4875	1.0	123.6	2.321	-20.75	-21.0	0.0004791944142462	0
2016-11-29	2.6194207085	3.2311666666666667	0.4866666666666666	96.47083333333336	0.6666666666666666	0.0	76.92	2.239	-20.75	-21.0	0.001376256186999	0
2016-11-30	2.4570184375	6.890750000000001	1.535	75.13333333333334	0.2625	0.0	122.6	2.152	-20.75	-21.0	0.0330479307302212	0
2017-03-01	0.3429013192653656	4.136833333333334	2.3454166666666665	91.9875	0.7083333333333334	0.6	332.7	0.795	-20.75	-21.0	0.0609276032405825	0
2017-03-02	0.3628507554531097	3.998625	1.6629166666666666	89.51666666666667	0.6208333333333333	0.0	275.3	0.96	-20.75	-21.0	0.018077533726534	0
2017-03-03	0.3724483251571655	1.436625	0.2675	98.39583333333331	0.9166666666666666	0.4000000000000001	141.9	1.148	-20.75	-21.0	0.0228141844351022	0
2017-03-04	0.3955295979976654	3.76475	-1.3458333333333332	84.60833333333333	0.7958333333333334	0.2	221.5	1.267	-20.75	-21.0	0.1965206164084736	0
2017-03-05	0.4072326123714447	4.873	-2.8991666666666664	72.09166666666667	0.8166666666666668	0.0	407.0	1.318	-20.75	-21.0	0.0235953015621894	0
2017-03-06	0.2793193757534027	6.274333333333334	-2.447083333333333	60.50416666666666	0.4416666666666666	0.0	443.9	1.326	-20.75	-21.0	0.027246451287765	0
2017-03-07	0.1429828554391861	6.336375	-3.232083333333333	86.14166666666667	0.9166666666666666	10.1	134.2	1.31	-20.75	-21.0	0.0078213163731642	0
2017-03-08	-0.0852357074618339	3.6921666666666666	-2.0025	94.15	1.0	1.3	353.2	1.292	-20.75	-21.0	0.0033619119783143	0
2017-03-09	-0.0767830237746238	3.7302083333333336	0.9070833333333334	98.025	1.0	0.4000000000000001	200.3	1.26	-20.75	-21.0	0.0122958533451746	0
2017-03-10	0.0165524762123823	2.5500000000000003	0.9816666666666666	98.11666666666667	0.9541666666666666	0.1	198.5	1.223	-20.75	-21.0	0.0019496067310763	0
2017-03-11	0.0498058944940567	2.0555	-0.2858333333333333	85.15833333333333	0.1916666666666666	0.0	469.4	1.229	-20.75	-21.0	0.0061145996374054	0
2017-03-12	0.1101778373122215	3.413083333333333	2.197083333333333	69.79166666666667	0.65	0.0	402.7	1.248	-20.75	-21.0	0.0097921029495638	0
2017-03-13	0.2054332345724105	4.345583333333333	3.7275	61.75833333333333	0.6916666666666668	0.0	401.5	1.235	-20.75	-21.0	0.0	0
2017-03-14	0.3481281995773315	6.301041666666666	4.3	80.17083333333333	0.7708333333333334	0.0	428.5	1.335	-20.75	-21.0	0.001366501087265	1
2017-03-15	0.4741623103618622	8.891833333333333	4.6312500000000005	65.00833333333334	0.3583333333333333	0.0	399.0	1.513	-20.75	-21.0	0.0012874056807416	1
2017-03-16	0.7014593482017517	5.309916666666667	3.845833333333333	57.12916666666666	0.4666666666666666	0.6	504.6	1.581	-20.75	-21.0	0.0	1
